Comparativo Ciudades,,,,,,,,
,,,,,,,,
Fecha,País,Ciudad,Casos confirmados acumulad,Fallecidos,Población (millones),Año población,Casos millón hab,Fallecidos millón hab
26/05/2020,Ecuador,Quito,3380,251,2011388,2020,1680,125
18/06/2020,México,Ciudad de México,40021,4249,8985339,2015,4454,473
18/06/2020,Perú,Lima,132714,6013,9485405,2017,13991,634
18/06/2020,Uruguay,Montevideo,571,16,1351162,2020,423,12
18/06/2020,Brasil,Sao Paulo,98530,6097,12252023,2017,8042,498
18/06/2020,Estados Unidos,New York,385760,30974,8398748,2018,45931,3688
18/06/2020,España,Madrid,70934,8691,3266126,2020,21718,2661
19/06/2020,Colombia,Bogotá,19241,449,7743955,2020,2485,58
19/06/2020,Argentina,Buenos Aires,22421,458,3075646,2020,7290,149
19/06/2020,Brasil,Brasilia,30902,396,3015268,2019,10249,131
19/06/2020,Chile,Santiago de Chile,191577,3715,7460708,2020,25678,498
27/05/2020,Ecuador,Quito,3380,251,2011388,2020,1680,125
28/05/2020,Ecuador,Quito,3516,259,2011388,2020,1748,129
19/06/2020,México,Ciudad de México,41007,4361,8985339,2015,4564,485
19/06/2020,Perú,Lima,133873,6099,9485405,2017,14114,643
19/06/2020,Uruguay,Montevideo,571,16,1351162,2020,423,12
19/06/2020,Brasil,Sao Paulo,105407,6255,12252023,2017,8603,511
19/06/2020,Estados Unidos,New York,387272,31015,8398748,2018,46111,3693
19/06/2020,España,Madrid,71144,8416,3266126,2020,21782,2577
20/06/2020,Colombia,Bogotá,19767,463,7743955,2020,2553,60
20/06/2020,Argentina,Buenos Aires,23135,466,3075646,2020,7522,152
20/06/2020,Brasil,Brasilia,32238,404,3015268,2019,10692,134
20/06/2020,Chile,Santiago de Chile,195366,3870,7460708,2020,26186,519
29/05/2020,Ecuador,Quito,3652,288,2011388,2020,1816,143
30/05/2020,Ecuador,Quito,3652,288,2011388,2020,1816,143
20/06/2020,México,Ciudad de México,41777,4414,8985339,2015,4649,491
