date,city_name,lat,lon,temp_mean,humidity_mean,temp_min,temp_max
2020-10-27,New York,40.712775,-74.005973,13.86125,82.70833333333333,10.56,13.14
2020-10-28,New York,40.712775,-74.005973,12.319999999999997,82.53333333333333,9.44,13.0
2020-10-29,New York,40.712775,-74.005973,11.227419354838709,87.19354838709677,8.33,10.56
2020-10-30,New York,40.712775,-74.005973,6.123750000000002,88.875,2.22,4.69
2020-10-31,New York,40.712775,-74.005973,4.070833333333334,71.04166666666667,-1.11,3.0
2020-11-01,New York,40.712775,-74.005973,9.258333333333333,70.41666666666667,3.0,8.0
2020-11-02,New York,40.712775,-74.005973,6.4191666666666665,51.208333333333336,2.78,5.21
2020-11-03,New York,40.712775,-74.005973,7.557916666666665,49.75,2.78,6.11
2020-11-04,New York,40.712775,-74.005973,10.14625,58.041666666666664,2.0,7.88
2020-11-05,New York,40.712775,-74.005973,13.895416666666664,72.20833333333333,7.0,12.0
2020-11-06,New York,40.712775,-74.005973,15.48958333333333,69.16666666666667,8.89,14.0
2020-11-07,New York,40.712775,-74.005973,16.924166666666668,54.25,8.0,14.44
2020-11-08,New York,40.712775,-74.005973,17.075,54.708333333333336,8.0,14.0
2020-11-09,New York,40.712775,-74.005973,16.114166666666666,61.916666666666664,7.0,13.33
2020-11-10,New York,40.712775,-74.005973,17.48875,71.75,10.0,16.0
2020-11-11,New York,40.712775,-74.005973,18.376250000000002,86.66666666666667,14.86,17.22
2020-11-12,New York,40.712775,-74.005973,15.800714285714283,91.46428571428571,7.78,9.44
2020-11-13,New York,40.712775,-74.005973,9.133870967741936,85.2258064516129,7.0,10.0
2020-11-14,New York,40.712775,-74.005973,8.933333333333335,60.708333333333336,4.44,8.0
2020-11-15,New York,40.712775,-74.005973,9.430416666666668,64.875,2.0,7.0
2020-11-16,New York,40.712775,-74.005973,11.319583333333332,50.5,7.78,9.44
2020-11-17,New York,40.712775,-74.005973,7.329583333333333,52.541666666666664,2.78,7.0
2020-11-18,New York,40.712775,-74.005973,1.8445833333333335,46.75,-0.56,1.62
2020-11-19,New York,40.712775,-74.005973,2.473333333333333,53.083333333333336,-3.0,1.0
2020-11-20,New York,40.712775,-74.005973,9.747916666666669,55.583333333333336,3.89,8.73
2020-11-21,New York,40.712775,-74.005973,13.4675,52.375,7.0,13.28
2020-11-22,New York,40.712775,-74.005973,9.311666666666666,62.291666666666664,5.56,8.0
2020-11-23,New York,40.712775,-74.005973,11.954166666666666,77.58333333333333,5.56,8.0
2020-11-24,New York,40.712775,-74.005973,6.610833333333332,53.208333333333336,3.0,7.0
2020-11-25,New York,40.712775,-74.005973,8.685416666666667,59.291666666666664,3.89,8.0
2020-11-26,New York,40.712775,-74.005973,14.044615384615383,77.73076923076923,8.33,13.0
2020-11-27,New York,40.712775,-74.005973,12.864583333333334,70.95833333333333,7.0,12.82
2020-11-28,New York,40.712775,-74.005973,10.700833333333334,59.541666666666664,6.0,11.0
2020-11-29,New York,40.712775,-74.005973,8.020000000000001,52.291666666666664,2.0,7.1
2020-11-30,New York,40.712775,-74.005973,12.625357142857142,77.89285714285714,6.0,11.0
2020-12-01,New York,40.712775,-74.005973,11.659999999999997,78.79166666666667,5.56,7.6
2020-12-02,New York,40.712775,-74.005973,4.160000000000001,63.0,0.56,4.0
2020-12-03,New York,40.712775,-74.005973,4.67875,56.375,-1.0,4.0
2020-12-04,New York,40.712775,-74.005973,8.200833333333332,61.041666666666664,4.44,9.0
2020-12-05,New York,40.712775,-74.005973,6.6737037037037,85.07407407407408,3.89,6.0
2020-12-06,New York,40.712775,-74.005973,3.380416666666667,54.625,1.11,3.0
2020-12-07,New York,40.712775,-74.005973,1.3766666666666663,55.75,-3.0,1.67
2020-12-08,New York,40.712775,-74.005973,0.5612500000000001,59.208333333333336,-1.67,0.0
2020-12-09,New York,40.712775,-74.005973,0.8925925925925924,66.0,-3.0,2.0
2020-12-10,New York,40.712775,-74.005973,4.835,68.16666666666667,0.56,3.0
2020-12-11,New York,40.712775,-74.005973,6.947083333333335,63.75,-1.0,6.63
2020-12-12,New York,40.712775,-74.005973,8.966666666666669,81.875,3.0,10.24
2020-12-13,New York,40.712775,-74.005973,11.7325,72.66666666666667,6.11,11.67
2020-12-14,New York,40.712775,-74.005973,5.4803999999999995,73.28,1.67,4.0
2020-12-15,New York,40.712775,-74.005973,2.1591666666666667,52.958333333333336,-1.11,2.0
2020-12-16,New York,40.712775,-74.005973,-1.5544000000000004,57.92,-4.44,-1.0
2020-12-17,New York,40.712775,-74.005973,-2.1446341463414638,88.65853658536585,-5.0,-3.0
2020-12-18,New York,40.712775,-74.005973,-2.5691666666666664,70.125,-7.78,-2.0
